Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,"17,116",Rocket Mortgage Fieldhouse,
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,"19,156",TD Garden,
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,"20,367",Wells Fargo Center,
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,"15,674",Toyota Center,
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,"20,995",United Center,
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,"19,520",Ball Arena,
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,"18,997",Crypto.com Arena,
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,"17,583",Golden 1 Center,
"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,"16,846",Rocket Mortgage Fieldhouse,
"Sat, Oct 23, 2021",7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,"17,147",Gainbridge Fieldhouse,
"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,"19,800",Scotiabank Arena,
"Sat, Oct 23, 2021",8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,"18,888",United Center,
"Sat, Oct 23, 2021",8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,"15,343",Target Center,
"Sat, Oct 23, 2021",8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,"14,353",AT&T Center,
"Sat, Oct 23, 2021",10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,"18,558",Moda Center,
"Sat, Oct 23, 2021",10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,"16,748",Crypto.com Arena,
"Sun, Oct 24, 2021",4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,"17,732",Barclays Center,
"Sun, Oct 24, 2021",7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,"16,069",Toyota Center,
"Sun, Oct 24, 2021",7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,"16,273",Madison Square Garden (IV),
"Sun, Oct 24, 2021",7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,"14,256",Paycom Center,
"Sun, Oct 24, 2021",9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,"13,876",Golden 1 Center,
"Sun, Oct 24, 2021",9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,"18,997",Crypto.com Arena,
"Mon, Oct 25, 2021",7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,"17,238",Spectrum Center,
"Mon, Oct 25, 2021",7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,"10,339",Gainbridge Fieldhouse,
"Mon, Oct 25, 2021",7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,"19,800",Scotiabank Arena,
"Mon, Oct 25, 2021",7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,"19,600",FTX Arena,
"Mon, Oct 25, 2021",7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,"14,487",Barclays Center,
"Mon, Oct 25, 2021",7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,"14,209",State Farm Arena,
"Mon, Oct 25, 2021",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,"14,435",Target Center,
"Mon, Oct 25, 2021",9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,"14,221",Ball Arena,
"Mon, Oct 25, 2021",10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,"15,672",Crypto.com Arena,
"Tue, Oct 26, 2021",7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,"15,218",Madison Square Garden (IV),
"Tue, Oct 26, 2021",8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0,Paycom Center,
"Tue, Oct 26, 2021",8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,"18,354",AT&T Center,
"Tue, Oct 26, 2021",8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,"19,337",American Airlines Center,
"Tue, Oct 26, 2021",10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,"18,306",Vivint Smart Home Arena,
"Wed, Oct 27, 2021",7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,"14,082",Amway Center,
"Wed, Oct 27, 2021",7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,"19,156",TD Garden,
"Wed, Oct 27, 2021",7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,"17,732",Barclays Center,
"Wed, Oct 27, 2021",7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,"19,800",Scotiabank Arena,
"Wed, Oct 27, 2021",7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,"15,541",Smoothie King Center,
"Wed, Oct 27, 2021",8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,"17,341",Fiserv Forum,
"Wed, Oct 27, 2021",8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,"15,783",Paycom Center,
"Wed, Oct 27, 2021",10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,"14,678",Phoenix Suns Arena,
"Wed, Oct 27, 2021",10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,"16,241",Moda Center,
"Wed, Oct 27, 2021",10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,"13,276",Crypto.com Arena,
"Thu, Oct 28, 2021",7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,"13,653",Capital One Arena,
"Thu, Oct 28, 2021",7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,"20,017",Wells Fargo Center,
"Thu, Oct 28, 2021",8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,"15,858",Toyota Center,
"Thu, Oct 28, 2021",8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,"20,972",United Center,
"Thu, Oct 28, 2021",8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,"19,228",American Airlines Center,
"Thu, Oct 28, 2021",10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,"18,064",Chase Center,
"Fri, Oct 29, 2021",7:00p,Orlando Magic,109,Toronto Raptors,110,Box Score,,"19,800",Scotiabank Arena,
"Fri, Oct 29, 2021",7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,"19,600",FTX Arena,
"Fri, Oct 29, 2021",7:30p,Indiana Pacers,98,Brooklyn Nets,105,Box Score,,"16,139",Barclays Center,
"Fri, Oct 29, 2021",8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Box Score,,"17,507",Smoothie King Center,
"Fri, Oct 29, 2021",10:00p,Dallas Mavericks,75,Denver Nuggets,106,Box Score,,"18,315",Ball Arena,
"Fri, Oct 29, 2021",10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Box Score,,"16,510",Moda Center,
"Fri, Oct 29, 2021",10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Box Score,,"18,997",Crypto.com Arena,
"Sat, Oct 30, 2021",5:00p,Boston Celtics,112,Washington Wizards,115,Box Score,2OT,"15,813",Capital One Arena,
"Sat, Oct 30, 2021",7:00p,Orlando Magic,103,Detroit Pistons,110,Box Score,,"11,423",Little Caesars Arena,
"Sat, Oct 30, 2021",7:00p,New York Knicks,123,New Orleans Pelicans,117,Box Score,,"16,508",Smoothie King Center,
"Sat, Oct 30, 2021",7:30p,Toronto Raptors,97,Indiana Pacers,94,Box Score,,"10,578",Gainbridge Fieldhouse,
"Sat, Oct 30, 2021",7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,Box Score,,"20,031",Wells Fargo Center,
"Sat, Oct 30, 2021",8:00p,Utah Jazz,99,Chicago Bulls,107,Box Score,,"20,668",United Center,
"Sat, Oct 30, 2021",8:00p,Miami Heat,129,Memphis Grizzlies,103,Box Score,,"15,989",FedEx Forum,
"Sat, Oct 30, 2021",8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,Box Score,,"17,341",Fiserv Forum,
"Sat, Oct 30, 2021",8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,Box Score,,"18,064",Chase Center,
"Sat, Oct 30, 2021",9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,Box Score,,"17,136",Target Center,
"Sat, Oct 30, 2021",10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,Box Score,,"14,516",Phoenix Suns Arena,
"Sun, Oct 31, 2021",3:30p,Sacramento Kings,99,Dallas Mavericks,105,Box Score,,"19,231",American Airlines Center,
"Sun, Oct 31, 2021",7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,Box Score,,"14,960",Spectrum Center,
"Sun, Oct 31, 2021",7:00p,Utah Jazz,107,Milwaukee Bucks,95,Box Score,,"17,341",Fiserv Forum,
"Sun, Oct 31, 2021",7:30p,Detroit Pistons,91,Brooklyn Nets,117,Box Score,,"13,507",Barclays Center,
"Sun, Oct 31, 2021",10:30p,Houston Rockets,85,Los Angeles Lakers,95,Box Score,,"16,448",Crypto.com Arena,
"Mon, Nov 1, 2021",7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,Box Score,,"13,889",Spectrum Center,
"Mon, Nov 1, 2021",7:00p,San Antonio Spurs,118,Indiana Pacers,131,Box Score,,"10,227",Gainbridge Fieldhouse,
"Mon, Nov 1, 2021",7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113,Box Score,,"20,115",Wells Fargo Center,
"Mon, Nov 1, 2021",7:30p,Washington Wizards,111,Atlanta Hawks,118,Box Score,,"14,632",State Farm Arena,
"Mon, Nov 1, 2021",7:30p,Chicago Bulls,128,Boston Celtics,114,Box Score,,"19,156",TD Garden,
"Mon, Nov 1, 2021",7:30p,Toronto Raptors,113,New York Knicks,104,Box Score,,"16,528",Madison Square Garden (IV),
"Mon, Nov 1, 2021",8:00p,Denver Nuggets,97,Memphis Grizzlies,106,Box Score,,"12,683",FedEx Forum,
"Mon, Nov 1, 2021",8:00p,Orlando Magic,115,Minnesota Timberwolves,97,Box Score,,"14,744",Target Center,
"Mon, Nov 1, 2021",10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,Box Score,,"13,722",Crypto.com Arena,
"Tue, Nov 2, 2021",7:00p,Milwaukee Bucks,117,Detroit Pistons,89,Box Score,,"9,254",Little Caesars Arena,
"Tue, Nov 2, 2021",7:30p,Miami Heat,125,Dallas Mavericks,110,Box Score,,"19,255",American Airlines Center,
"Tue, Nov 2, 2021",9:00p,Sacramento Kings,113,Utah Jazz,119,Box Score,,"18,306",Vivint Smart Home Arena,
"Tue, Nov 2, 2021",10:00p,New Orleans Pelicans,100,Phoenix Suns,112,Box Score,,"14,323",Phoenix Suns Arena,
"Tue, Nov 2, 2021",10:30p,Houston Rockets,117,Los Angeles Lakers,119,Box Score,,"18,997",Crypto.com Arena,
"Wed, Nov 3, 2021",7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107,Box Score,,"16,231",Rocket Mortgage Fieldhouse,
"Wed, Nov 3, 2021",7:00p,New York Knicks,98,Indiana Pacers,111,Box Score,,"11,607",Gainbridge Fieldhouse,
"Wed, Nov 3, 2021",7:00p,Boston Celtics,92,Orlando Magic,79,Box Score,,"12,735",Amway Center,
"Wed, Nov 3, 2021",7:00p,Chicago Bulls,98,Philadelphia 76ers,103,Box Score,,"20,438",Wells Fargo Center,
"Wed, Nov 3, 2021",7:00p,Toronto Raptors,109,Washington Wizards,100,Box Score,,"13,538",Capital One Arena,
"Wed, Nov 3, 2021",7:30p,Atlanta Hawks,108,Brooklyn Nets,117,Box Score,,"17,323",Barclays Center,
"Wed, Nov 3, 2021",8:00p,Denver Nuggets,106,Memphis Grizzlies,108,Box Score,,"12,977",FedEx Forum,
"Wed, Nov 3, 2021",8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,Box Score,,"15,386",Target Center,
"Wed, Nov 3, 2021",8:30p,Dallas Mavericks,109,San Antonio Spurs,108,Box Score,,"16,356",AT&T Center,
"Wed, Nov 3, 2021",10:00p,Charlotte Hornets,92,Golden State Warriors,114,Box Score,,"18,064",Chase Center,
"Wed, Nov 3, 2021",10:00p,New Orleans Pelicans,99,Sacramento Kings,112,Box Score,,0,Golden 1 Center,
"Thu, Nov 4, 2021",7:00p,Philadelphia 76ers,109,Detroit Pistons,98,Box Score,,"8,702",Little Caesars Arena,
"Thu, Nov 4, 2021",7:30p,Utah Jazz,116,Atlanta Hawks,98,Box Score,,"16,590",State Farm Arena,
"Thu, Nov 4, 2021",7:30p,Boston Celtics,95,Miami Heat,78,Box Score,,"19,600",FTX Arena,
"Thu, Nov 4, 2021",10:00p,Houston Rockets,111,Phoenix Suns,123,Box Score,,"15,058",Phoenix Suns Arena,
"Thu, Nov 4, 2021",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,Box Score,,"18,997",Crypto.com Arena,
"Fri, Nov 5, 2021",7:00p,Brooklyn Nets,96,Detroit Pistons,90,Box Score,,"14,235",Little Caesars Arena,
"Fri, Nov 5, 2021",7:00p,San Antonio Spurs,102,Orlando Magic,89,Box Score,,"14,101",Amway Center,
"Fri, Nov 5, 2021",7:00p,Memphis Grizzlies,87,Washington Wizards,115,Box Score,,"16,302",Capital One Arena,
"Fri, Nov 5, 2021",7:30p,New York Knicks,113,Milwaukee Bucks,98,Box Score,,"17,341",Fiserv Forum,
"Fri, Nov 5, 2021",7:30p,Cleveland Cavaliers,102,Toronto Raptors,101,Box Score,,"19,800",Scotiabank Arena,
"Fri, Nov 5, 2021",8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,Box Score,,"17,136",Target Center,
"Fri, Nov 5, 2021",10:00p,New Orleans Pelicans,85,Golden State Warriors,126,Box Score,,"18,064",Chase Center,
"Fri, Nov 5, 2021",10:00p,Indiana Pacers,106,Portland Trail Blazers,110,Box Score,,"16,841",Moda Center,
"Fri, Nov 5, 2021",10:00p,Charlotte Hornets,110,Sacramento Kings,140,Box Score,,"14,905",Golden 1 Center,
"Sat, Nov 6, 2021",5:00p,Houston Rockets,94,Denver Nuggets,95,Box Score,,"16,046",Ball Arena,
"Sat, Nov 6, 2021",7:30p,Utah Jazz,115,Miami Heat,118,Box Score,,"19,600",FTX Arena,
"Sat, Nov 6, 2021",8:00p,Philadelphia 76ers,114,Chicago Bulls,105,Box Score,,"20,936",United Center,
"Sat, Nov 6, 2021",8:30p,Boston Celtics,104,Dallas Mavericks,107,Box Score,,"20,052",American Airlines Center,
"Sat, Nov 6, 2021",10:00p,Atlanta Hawks,117,Phoenix Suns,121,Box Score,,"15,412",Phoenix Suns Arena,
"Sat, Nov 6, 2021",10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105,Box Score,,"19,393",Moda Center,
"Sun, Nov 7, 2021",3:30p,Brooklyn Nets,116,Toronto Raptors,103,Box Score,,"19,800",Scotiabank Arena,
"Sun, Nov 7, 2021",6:00p,Cleveland Cavaliers,126,New York Knicks,109,Box Score,,"19,040",Madison Square Garden (IV),
"Sun, Nov 7, 2021",6:00p,Utah Jazz,100,Orlando Magic,107,Box Score,,"13,386",Amway Center,
"Sun, Nov 7, 2021",6:00p,Indiana Pacers,94,Sacramento Kings,91,Box Score,,"12,993",Golden 1 Center,
"Sun, Nov 7, 2021",6:00p,Milwaukee Bucks,94,Washington Wizards,101,Box Score,,"15,570",Capital One Arena,
"Sun, Nov 7, 2021",7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99,Box Score,,"12,972",Paycom Center,
"Sun, Nov 7, 2021",8:30p,Houston Rockets,107,Golden State Warriors,120,Box Score,,"18,064",Chase Center,
"Sun, Nov 7, 2021",9:00p,Charlotte Hornets,106,Los Angeles Clippers,120,Box Score,,"15,781",Crypto.com Arena,
"Mon, Nov 8, 2021",7:00p,New York Knicks,103,Philadelphia 76ers,96,Box Score,,"20,224",Wells Fargo Center,
"Mon, Nov 8, 2021",8:00p,Brooklyn Nets,95,Chicago Bulls,118,Box Score,,"19,459",United Center,
"Mon, Nov 8, 2021",8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,Box Score,OT,"12,416",FedEx Forum,
"Mon, Nov 8, 2021",8:30p,New Orleans Pelicans,92,Dallas Mavericks,108,Box Score,,"19,231",American Airlines Center,
"Mon, Nov 8, 2021",9:00p,Miami Heat,96,Denver Nuggets,113,Box Score,,"15,577",Ball Arena,
"Mon, Nov 8, 2021",10:00p,Atlanta Hawks,113,Golden State Warriors,127,Box Score,,"18,064",Chase Center,
"Mon, Nov 8, 2021",10:00p,Phoenix Suns,109,Sacramento Kings,104,Box Score,,"13,566",Golden 1 Center,
"Mon, Nov 8, 2021",10:30p,Charlotte Hornets,123,Los Angeles Lakers,126,Box Score,OT,"18,997",Crypto.com Arena,
"Tue, Nov 9, 2021",7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,Box Score,,"20,029",Wells Fargo Center,
"Tue, Nov 9, 2021",9:00p,Atlanta Hawks,98,Utah Jazz,110,Box Score,,"18,306",Vivint Smart Home Arena,
"Tue, Nov 9, 2021",10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117,Box Score,,"14,131",Crypto.com Arena,
"Wed, Nov 10, 2021",7:00p,Washington Wizards,97,Cleveland Cavaliers,94,Box Score,,"18,056",Rocket Mortgage Fieldhouse,
"Wed, Nov 10, 2021",7:00p,Brooklyn Nets,123,Orlando Magic,90,Box Score,,"13,882",Amway Center,
"Wed, Nov 10, 2021",7:30p,Toronto Raptors,88,Boston Celtics,104,Box Score,,"19,156",TD Garden,
"Wed, Nov 10, 2021",7:30p,Detroit Pistons,112,Houston Rockets,104,Box Score,,"15,350",Toyota Center,
"Wed, Nov 10, 2021",7:30p,Milwaukee Bucks,112,New York Knicks,100,Box Score,,"18,027",Madison Square Garden (IV),
"Wed, Nov 10, 2021",8:00p,Dallas Mavericks,107,Chicago Bulls,117,Box Score,,"20,910",United Center,
"Wed, Nov 10, 2021",8:00p,Charlotte Hornets,118,Memphis Grizzlies,108,Box Score,,"13,880",FedEx Forum,
"Wed, Nov 10, 2021",8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100,Box Score,,"15,355",Smoothie King Center,
"Wed, Nov 10, 2021",8:30p,Sacramento Kings,117,San Antonio Spurs,136,Box Score,,"15,065",AT&T Center,
"Wed, Nov 10, 2021",9:00p,Indiana Pacers,98,Denver Nuggets,101,Box Score,,"15,232",Ball Arena,
"Wed, Nov 10, 2021",9:00p,Portland Trail Blazers,109,Phoenix Suns,119,Box Score,,"15,672",Phoenix Suns Arena,
"Wed, Nov 10, 2021",10:00p,Minnesota Timberwolves,110,Golden State Warriors,123,Box Score,,"18,064",Chase Center,
"Wed, Nov 10, 2021",10:00p,Miami Heat,117,Los Angeles Lakers,120,Box Score,OT,"18,997",Crypto.com Arena,
"Thu, Nov 11, 2021",7:00p,Toronto Raptors,115,Philadelphia 76ers,109,Box Score,,"20,112",Wells Fargo Center,
"Thu, Nov 11, 2021",9:00p,Indiana Pacers,111,Utah Jazz,100,Box Score,,"18,306",Vivint Smart Home Arena,
"Thu, Nov 11, 2021",10:30p,Miami Heat,109,Los Angeles Clippers,112,Box Score,,"16,150",Crypto.com Arena,
"Fri, Nov 12, 2021",7:00p,New York Knicks,96,Charlotte Hornets,104,Box Score,,"19,257",Spectrum Center,
"Fri, Nov 12, 2021",7:30p,Milwaukee Bucks,113,Boston Celtics,122,Box Score,OT,"19,156",TD Garden,
"Fri, Nov 12, 2021",7:30p,Detroit Pistons,78,Cleveland Cavaliers,98,Box Score,,"17,095",Rocket Mortgage Fieldhouse,
"Fri, Nov 12, 2021",8:00p,Portland Trail Blazers,104,Houston Rockets,92,Box Score,,"15,468",Toyota Center,
"Fri, Nov 12, 2021",8:00p,Phoenix Suns,119,Memphis Grizzlies,94,Box Score,,"15,886",FedEx Forum,
"Fri, Nov 12, 2021",8:00p,Brooklyn Nets,120,New Orleans Pelicans,112,Box Score,,"14,650",Smoothie King Center,
"Fri, Nov 12, 2021",8:00p,Sacramento Kings,103,Oklahoma City Thunder,105,Box Score,,"12,881",Paycom Center,
"Fri, Nov 12, 2021",8:30p,Dallas Mavericks,123,San Antonio Spurs,109,Box Score,,"13,425",AT&T Center,
"Fri, Nov 12, 2021",9:00p,Atlanta Hawks,96,Denver Nuggets,105,Box Score,,"16,849",Ball Arena,
"Fri, Nov 12, 2021",10:00p,Chicago Bulls,93,Golden State Warriors,119,Box Score,,"18,064",Chase Center,
"Fri, Nov 12, 2021",10:30p,Minnesota Timberwolves,107,Los Angeles Lakers,83,Box Score,,"18,997",Crypto.com Arena,
"Sat, Nov 13, 2021",5:00p,Miami Heat,111,Utah Jazz,105,Box Score,,"18,306",Vivint Smart Home Arena,
"Sat, Nov 13, 2021",7:00p,Philadelphia 76ers,113,Indiana Pacers,118,Box Score,,"14,483",Gainbridge Fieldhouse,
"Sat, Nov 13, 2021",7:00p,Memphis Grizzlies,101,New Orleans Pelicans,112,Box Score,,"14,358",Smoothie King Center,
"Sat, Nov 13, 2021",7:00p,Washington Wizards,104,Orlando Magic,92,Box Score,,"17,272",Amway Center,
"Sat, Nov 13, 2021",7:30p,Detroit Pistons,127,Toronto Raptors,121,Box Score,,"19,800",Scotiabank Arena,
"Sat, Nov 13, 2021",8:00p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sat, Nov 13, 2021",10:30p,Minnesota Timberwolves,102,Los Angeles Clippers,129,Box Score,,"15,285",Crypto.com Arena,
"Sun, Nov 14, 2021",3:30p,San Antonio Spurs,106,Los Angeles Lakers,114,Box Score,,"18,997",Crypto.com Arena,
"Sun, Nov 14, 2021",6:00p,Milwaukee Bucks,100,Atlanta Hawks,120,Box Score,,"16,901",State Farm Arena,
"Sun, Nov 14, 2021",7:00p,Golden State Warriors,102,Charlotte Hornets,106,Box Score,,"19,559",Spectrum Center,
"Sun, Nov 14, 2021",7:00p,Phoenix Suns,115,Houston Rockets,89,Box Score,,"16,088",Toyota Center,
"Sun, Nov 14, 2021",7:00p,Brooklyn Nets,120,Oklahoma City Thunder,96,Box Score,,"15,080",Paycom Center,
"Sun, Nov 14, 2021",8:00p,Portland Trail Blazers,95,Denver Nuggets,124,Box Score,,"14,583",Ball Arena,
"Sun, Nov 14, 2021",9:30p,Chicago Bulls,100,Los Angeles Clippers,90,Box Score,,"17,899",Crypto.com Arena,
"Mon, Nov 15, 2021",7:00p,Boston Celtics,98,Cleveland Cavaliers,92,Box Score,,"17,186",Rocket Mortgage Fieldhouse,
"Mon, Nov 15, 2021",7:00p,Sacramento Kings,129,Detroit Pistons,107,Box Score,,"10,092",Little Caesars Arena,
"Mon, Nov 15, 2021",7:00p,New Orleans Pelicans,100,Washington Wizards,105,Box Score,,"13,914",Capital One Arena,
"Mon, Nov 15, 2021",7:30p,Orlando Magic,111,Atlanta Hawks,129,Box Score,,"13,061",State Farm Arena,
"Mon, Nov 15, 2021",7:30p,Indiana Pacers,84,New York Knicks,92,Box Score,,"16,792",Madison Square Garden (IV),
"Mon, Nov 15, 2021",8:00p,Denver Nuggets,101,Dallas Mavericks,111,Box Score,,"19,797",American Airlines Center,
"Mon, Nov 15, 2021",8:00p,Houston Rockets,102,Memphis Grizzlies,136,Box Score,,"11,482",FedEx Forum,
"Mon, Nov 15, 2021",8:00p,Phoenix Suns,99,Minnesota Timberwolves,96,Box Score,,"16,274",Target Center,
"Mon, Nov 15, 2021",8:00p,Miami Heat,103,Oklahoma City Thunder,90,Box Score,,"12,330",Paycom Center,
"Mon, Nov 15, 2021",10:00p,Toronto Raptors,113,Portland Trail Blazers,118,Box Score,,"16,142",Moda Center,
"Mon, Nov 15, 2021",10:30p,Chicago Bulls,121,Los Angeles Lakers,103,Box Score,,"18,997",Crypto.com Arena,
"Tue, Nov 16, 2021",7:30p,Golden State Warriors,117,Brooklyn Nets,99,Box Score,,"17,732",Barclays Center,
"Tue, Nov 16, 2021",10:00p,Philadelphia 76ers,85,Utah Jazz,120,Box Score,,"18,306",Vivint Smart Home Arena,
"Tue, Nov 16, 2021",10:30p,San Antonio Spurs,92,Los Angeles Clippers,106,Box Score,,"13,298",Crypto.com Arena,
"Wed, Nov 17, 2021",7:00p,Washington Wizards,87,Charlotte Hornets,97,Box Score,,"14,402",Spectrum Center,
"Wed, Nov 17, 2021",7:00p,Indiana Pacers,89,Detroit Pistons,97,Box Score,,"11,457",Little Caesars Arena,
"Wed, Nov 17, 2021",7:30p,Boston Celtics,99,Atlanta Hawks,110,Box Score,,"16,445",State Farm Arena,
"Wed, Nov 17, 2021",7:30p,Cleveland Cavaliers,99,Brooklyn Nets,109,Box Score,,"16,922",Barclays Center,
"Wed, Nov 17, 2021",7:30p,New Orleans Pelicans,98,Miami Heat,113,Box Score,,"19,600",FTX Arena,
